operation_id,operation_ts,site_id,asset_id,shift,sendout_mmscfd,throughput_mmbtu,boiloff_rate_pct,uptime_pct,downtime_hours,maintenance_type,maintenance_cost_usd,incident_count,status
OP00101,2026-01-21 16:00:00,S001,A002,DAY,380.04,528480.47,0.528,98.68,0.09,NONE,0.0,0,NORMAL
OP00102,2026-01-23 20:00:00,S002,A005,NIGHT,97.24,123876.29,0.139,95.93,0.22,NONE,0.0,0,NORMAL
OP00103,2026-01-25 00:00:00,S003,A008,NIGHT,638.19,839122.55,0.368,95.94,0.14,NONE,0.0,0,NORMAL
OP00104,2026-01-27 04:00:00,S004,A011,NIGHT,247.23,312026.48,0.66,96.48,0.24,NONE,0.0,0,NORMAL
OP00105,2026-01-29 08:00:00,S001,A003,DAY,393.49,543960.76,0.525,97.84,0.21,NONE,0.0,0,NORMAL
OP00106,2026-01-31 12:00:00,S002,A006,DAY,109.0,146387.04,0.416,97.82,0.96,PREVENTIVE,5359.49,0,NORMAL
OP00107,2026-02-02 16:00:00,S003,A009,DAY,647.93,822299.37,0.338,97.59,0.14,NONE,0.0,0,NORMAL
OP00108,2026-02-04 20:00:00,S004,A012,NIGHT,280.44,393336.19,0.169,97.83,0.22,NONE,0.0,0,NORMAL
OP00109,2026-02-06 00:00:00,S001,A001,NIGHT,354.25,454677.34,0.543,96.85,0.08,NONE,0.0,0,NORMAL
OP00110,2026-02-08 04:00:00,S002,A004,NIGHT,107.26,144139.77,0.18,97.21,0.2,NONE,0.0,0,NORMAL
OP00111,2026-02-10 08:00:00,S003,A007,DAY,497.35,649700.59,0.618,96.54,1.07,INSPECTION,1318.39,0,NORMAL
OP00112,2026-02-12 12:00:00,S004,A010,DAY,273.69,368921.96,0.235,98.72,0.09,NONE,0.0,0,NORMAL
OP00113,2026-02-14 16:00:00,S001,A002,DAY,366.17,464005.94,0.492,96.49,1.11,PREVENTIVE,12110.45,0,NORMAL
OP00114,2026-02-16 20:00:00,S002,A005,NIGHT,112.5,153477.12,0.642,98.11,0.1,NONE,0.0,0,NORMAL
OP00115,2026-02-18 00:00:00,S003,A008,NIGHT,636.39,836804.79,0.243,96.46,0.01,NONE,0.0,0,NORMAL
OP00116,2026-02-20 04:00:00,S004,A011,NIGHT,265.43,346440.24,0.423,95.71,0.07,NONE,0.0,0,NORMAL
OP00117,2026-02-22 08:00:00,S001,A003,DAY,454.57,581090.93,0.366,98.46,6.13,CORRECTIVE,19878.65,0,WATCH
OP00118,2026-02-24 12:00:00,S002,A006,DAY,93.75,121635.44,0.213,95.99,0.11,NONE,0.0,0,NORMAL
OP00119,2026-02-26 16:00:00,S003,A009,DAY,556.86,704977.3,0.284,97.5,0.05,NONE,0.0,0,NORMAL
OP00120,2026-02-28 20:00:00,S004,A012,NIGHT,261.6,335717.98,0.127,96.82,1.3,PREVENTIVE,11367.62,0,NORMAL
OP00121,2026-03-02 00:00:00,S001,A001,NIGHT,437.63,586754.4,0.356,97.93,0.24,NONE,0.0,0,NORMAL
OP00122,2026-03-04 04:00:00,S002,A004,NIGHT,94.12,124905.86,0.461,98.12,0.23,INSPECTION,4211.45,0,NORMAL
OP00123,2026-03-06 08:00:00,S003,A007,DAY,662.18,856726.95,0.53,97.41,0.09,NONE,0.0,0,NORMAL
OP00124,2026-03-08 12:00:00,S004,A010,DAY,218.15,281570.2,0.613,96.61,0.03,NONE,0.0,0,NORMAL
OP00125,2026-03-10 16:00:00,S001,A002,DAY,389.48,516229.64,0.688,97.4,0.1,NONE,0.0,0,NORMAL
OP00126,2026-03-12 20:00:00,S002,A005,NIGHT,107.72,142757.2,0.144,97.82,0.04,NONE,0.0,0,NORMAL
OP00127,2026-03-14 00:00:00,S003,A008,NIGHT,672.85,862383.89,0.468,96.02,2.13,PREVENTIVE,4241.12,0,WATCH
OP00128,2026-03-16 04:00:00,S004,A011,NIGHT,228.53,295549.49,0.423,95.7,0.0,NONE,0.0,0,NORMAL
OP00129,2026-03-18 08:00:00,S001,A003,DAY,418.82,554189.18,0.632,98.1,0.14,NONE,0.0,0,NORMAL
OP00130,2026-03-20 12:00:00,S002,A006,DAY,85.16,114020.98,0.536,95.95,0.08,NONE,0.0,0,NORMAL
OP00131,2026-03-22 16:00:00,S003,A009,DAY,536.11,693353.75,0.192,96.57,0.22,NONE,0.0,0,NORMAL
OP00132,2026-03-24 20:00:00,S004,A012,NIGHT,223.29,308240.85,0.675,97.32,0.23,NONE,0.0,0,NORMAL
OP00133,2026-03-26 00:00:00,S001,A001,NIGHT,438.28,583862.1,0.129,97.18,0.39,INSPECTION,1529.96,0,NORMAL
OP00134,2026-03-28 04:00:00,S002,A004,NIGHT,112.02,144060.79,0.374,98.78,2.11,PREVENTIVE,7070.02,0,WATCH
OP00135,2026-03-30 08:00:00,S003,A007,DAY,494.36,633275.63,0.577,97.72,0.21,NONE,0.0,0,NORMAL
OP00136,2026-04-01 12:00:00,S004,A010,DAY,272.19,365395.08,0.401,96.07,0.19,NONE,0.0,0,NORMAL
OP00137,2026-04-03 16:00:00,S001,A002,DAY,422.96,536513.77,0.592,97.92,0.06,NONE,0.0,0,NORMAL
OP00138,2026-04-05 20:00:00,S002,A005,NIGHT,93.02,121462.48,0.661,97.28,0.24,NONE,0.0,0,NORMAL
OP00139,2026-04-07 00:00:00,S003,A008,NIGHT,490.72,665898.12,0.429,97.93,0.12,NONE,0.0,0,NORMAL
OP00140,2026-04-09 04:00:00,S004,A011,NIGHT,234.82,318153.38,0.277,96.16,0.08,NONE,0.0,0,NORMAL
OP00141,2026-04-11 08:00:00,S001,A003,DAY,410.32,566801.53,0.207,96.2,1.67,PREVENTIVE,6916.61,0,NORMAL
OP00142,2026-04-13 12:00:00,S002,A006,DAY,91.43,116281.64,0.266,96.62,0.08,NONE,0.0,1,ALARM
OP00143,2026-04-15 16:00:00,S003,A009,DAY,505.97,632620.6,0.417,97.05,0.05,NONE,0.0,0,NORMAL
OP00144,2026-04-17 20:00:00,S004,A012,NIGHT,234.55,324911.14,0.143,97.13,0.28,INSPECTION,4252.39,0,NORMAL
OP00145,2026-04-19 00:00:00,S001,A001,NIGHT,421.37,568622.03,0.385,97.95,0.12,NONE,0.0,0,NORMAL
OP00146,2026-04-21 04:00:00,S002,A004,NIGHT,93.51,121275.54,0.58,96.5,3.36,CORRECTIVE,53249.31,0,WATCH
OP00147,2026-04-23 08:00:00,S003,A007,DAY,604.07,832390.71,0.161,96.59,0.03,NONE,0.0,0,NORMAL
OP00148,2026-04-25 12:00:00,S004,A010,DAY,267.89,345831.81,0.36,96.06,1.23,PREVENTIVE,6616.67,0,NORMAL
OP00149,2026-04-27 16:00:00,S001,A002,DAY,399.23,534408.74,0.213,96.26,0.01,NONE,0.0,0,NORMAL
OP00150,2026-04-29 20:00:00,S002,A005,NIGHT,82.9,105392.54,0.524,97.99,0.08,NONE,0.0,0,NORMAL
