operation_id,operation_ts,site_id,asset_id,shift,sendout_mmscfd,throughput_mmbtu,boiloff_rate_pct,uptime_pct,downtime_hours,maintenance_type,maintenance_cost_usd,incident_count,status
OP00001,2026-01-01 00:00:00,S001,A001,NIGHT,406.06,540712.84,0.479,97.79,4.05,CORRECTIVE,47341.19,1,ALARM
OP00002,2026-01-03 04:00:00,S002,A004,NIGHT,93.76,117456.9,0.187,96.27,0.14,NONE,0.0,0,NORMAL
OP00003,2026-01-05 08:00:00,S003,A007,DAY,543.09,746557.55,0.132,95.79,0.22,NONE,0.0,0,NORMAL
OP00004,2026-01-07 12:00:00,S004,A010,DAY,226.6,297615.46,0.234,98.78,0.2,NONE,0.0,0,NORMAL
OP00005,2026-01-09 16:00:00,S001,A002,DAY,381.23,507884.09,0.291,96.74,0.24,NONE,0.0,0,NORMAL
OP00006,2026-01-11 20:00:00,S002,A005,NIGHT,85.68,112275.38,0.476,97.33,0.09,NONE,0.0,0,NORMAL
OP00007,2026-01-13 00:00:00,S003,A008,NIGHT,637.53,840360.87,0.605,97.0,0.02,NONE,0.0,0,NORMAL
OP00008,2026-01-15 04:00:00,S004,A011,NIGHT,222.35,277965.61,0.611,96.55,1.49,PREVENTIVE,12120.82,0,NORMAL
OP00009,2026-01-17 08:00:00,S001,A003,DAY,436.62,597353.34,0.518,97.71,0.09,NONE,0.0,0,NORMAL
OP00010,2026-01-19 12:00:00,S002,A006,DAY,108.97,138751.57,0.359,95.6,0.12,NONE,0.0,0,NORMAL
OP00011,2026-01-21 16:00:00,S003,A009,DAY,512.95,701146.64,0.17,98.63,0.04,NONE,0.0,0,NORMAL
OP00012,2026-01-23 20:00:00,S004,A012,NIGHT,249.44,322702.42,0.247,97.33,1.05,INSPECTION,1547.1,0,NORMAL
OP00013,2026-01-25 00:00:00,S001,A001,NIGHT,354.56,443038.02,0.475,98.56,0.01,NONE,0.0,0,NORMAL
OP00014,2026-01-27 04:00:00,S002,A004,NIGHT,86.41,108744.27,0.527,97.65,0.23,NONE,0.0,0,NORMAL
